Player,School,POS,REC,YDS,AVG,LNG,TD
Deshon Stoudemire,TROY,WR,34,473,13.9,51,1
Cam Johnson,NU,WR,40,472,11.8,43,3
Tayvion Robinson,UK,WR,33,472,14.3,56,4
Taylor Morin,WAKE,WR,33,472,14.3,61,2
Ramel Keyton,TENN,WR,28,469,16.8,60,4
Justin Joly,CONN,TE,41,469,11.4,59,1
Brennan Presley,OKST,WR,52,467,9.0,29,5
Jeremiah Ballard,UTEP,WR,30,464,15.5,50,1
Corey Rucker,ARST,WR,24,461,19.2,68,0
Miles Cross,OHIO,WR,37,461,12.5,32,4
JP Richardson,TCU,WR,36,460,12.8,59,3
Jaylin Lane,VT,WR,33,458,13.9,75,6
David Martin-Robinson,TEM,TE,35,457,13.1,33,3
Joseph Manjack IV,HOU,WR,39,457,11.7,49,6
Christan Horn,APP,WR,27,456,16.9,52,5
Drake Dabney,BAY,TE,27,452,16.7,63,5
Jasaiah Gathings,AKR,WR,43,452,10.5,39,1
Chase Sowell,ECU,WR,36,452,12.6,45,1
Justin Olson,MTSU,WR,43,450,10.5,42,1
Tyler Brown,CLEM,WR,40,447,11.2,47,4
Da'Quan Felton,VT,WR,28,447,16.0,70,4
Montorie Foster Jr.,MSU,WR,34,447,13.1,42,2
Cornelius Johnson,MICH,WR,26,446,17.2,50,1
Chris Tyree,ND,WR,23,446,19.4,76,3
Junior Vandeross III,TOL,WR,32,445,13.9,68,3
Cameron Ross,CONN,WR,38,444,11.7,44,1
Isaiah Bond,ALA,WR,30,444,14.8,52,3
Perry Carter,JVST,WR,25,443,17.7,63,3
Brett Buckman,CONN,WR,43,442,10.3,40,1
Mac Dalena,FRES,WR,38,440,11.6,39,3
Trayvon Rudolph,NIU,WR,39,439,11.3,72,2
Dalen Cobb,GASO,WR,28,433,15.5,76,2
Roderic Burns,UNT,WR,37,432,11.7,42,4
Jaelen Gill,FRES,WR,42,430,10.2,65,5
Treon Sibley,LIB,WR,19,429,22.6,68,4
Andrel Anthony,OU,WR,27,429,15.9,55,1
Jeff Foreman,ARST,WR,20,428,21.4,46,4
Malik Rutherford,GT,WR,38,428,11.3,55,3
J. Michael Sturdivant,UCLA,WR,28,428,15.3,62,3
Jesse Prewitt III,CMU,WR,29,428,14.8,70,4
Colston Loveland,MICH,TE,29,426,14.7,54,4
Daniel George,AKR,WR,43,425,9.9,50,1
Ja'Tavion Sanders,TEX,TE,26,425,16.3,50,1
Jerand Bradley,TTU,WR,35,423,12.1,34,4
Mitchell Evans,ND,TE,29,422,14.6,36,1
Jaylen Johnson,ECU,WR,38,421,11.1,39,1
Jha'Quan Jackson,TULN,WR,24,421,17.5,48,4
Amare Thomas,UAB,WR,48,421,8.8,49,3
Ladd McConkey,UGA,WR,26,418,16.1,54,2
Jack Velling,ORST,TE,27,418,15.5,41,8
Jake Bailey,SMU,WR,32,414,12.9,34,0
London Humphreys,VAN,WR,19,413,21.7,56,4
Quentin Skinner,KU,WR,21,412,19.6,49,2
Myles Price,TTU,WR,43,410,9.5,33,5
Jaheim Bell,FSU,TE,34,406,11.9,44,2
Kelby Williams,ODU,WR,21,406,19.3,78,2
Caleb Medford,UNM,WR,23,404,17.6,59,1
Matthew Golden,HOU,WR,38,404,10.6,39,6
Corey Dyches,MD,TE,42,401,9.5,44,1
Mookie Cooper,MIZ,WR,31,400,12.9,41,0
Peter LeBlanc,UL,WR,26,399,15.3,87,4
Devan Williams,TLSA,WR,29,399,13.8,42,2
Louis Brown IV,CSU,WR,41,398,9.7,46,3
Devin McCuin,UTSA,WR,29,398,13.7,72,2
Dariyan Wiley,ULM,WR,23,397,17.3,68,2
Nate McCollum,UNC,WR,36,396,11.0,48,1
Ashton Jeanty,BOIS,RB,30,396,13.2,50,4
Tiaquelin Mims,USM,DB,34,395,11.6,37,1
Casey Washington,ILL,WR,32,394,12.3,33,1
Blake Watson,MEM,RB,43,393,9.1,63,2
Tanner Knue,EMU,WR,40,393,9.8,39,3
Damon Ward,UNT,WR,31,393,12.7,59,4
Xavier White,TTU,WR,28,393,14.0,72,1
Jacob De Jesus,UNLV,WR,39,393,10.1,48,2
Ketron Jackson Jr.,BAY,WR,24,392,16.3,55,0
Christian Dremel,RUTG,WR,30,390,13.0,69,3
Tanner McLachlan,ARIZ,TE,31,389,12.5,36,2
Ta'ron Keith,BGSU,RB,35,389,11.1,58,3
Damien Alford,SYR,WR,24,389,16.2,35,1
Malik Phillips,SHSU,WR,30,389,13.0,41,1
Jeremiah Hixon,UNM,WR,33,385,11.7,59,5
Zae Baines,TEM,WR,29,385,13.3,60,1
Isaac Rex,BYU,TE,29,385,13.3,65,2
Harold Fannin Jr.,BGSU,TE,26,385,14.8,47,4
Jake Briningstool,CLEM,TE,37,384,10.4,50,4
Dean Connors,RICE,RB,38,384,10.1,80,3
Jayden McGowan,VAN,WR,36,383,10.6,50,0
Marcus Rosemy-Jacksaint,UGA,WR,22,381,17.3,50,2
Jacob Bernard,UL,WR,30,378,12.6,43,1
Bryson Green,WIS,WR,25,375,15.0,54,1
Umari Hatcher,SYR,WR,25,375,15.0,48,2
Rawson MacNeill,RICE,WR,25,368,14.7,38,2
Tiger Bachmeier,STAN,WR,35,368,10.5,35,1
Jairus Mack,CLT,WR,21,366,17.4,51,1
Dean Patterson,FIU,WR,23,366,15.9,40,0
Rara Thomas,UGA,WR,22,365,16.6,56,1
Easton Messer,WKU,WR,29,363,12.5,35,3
Darrell Harding Jr.,BUFF,WR,20,362,18.1,52,3
DeMarcus Harris,MRSH,WR,21,362,17.2,65,1
Ke'Shawn Williams,WAKE,WR,36,362,10.1,34,1
Trond Grizzell,CAL,WR,26,362,13.9,38,3
Barion Brown,UK,WR,34,361,10.6,55,2
TJ Sheffield,PUR,WR,31,360,11.6,43,2
Javon Harvey,ODU,WR,26,355,13.7,68,3
George Johnson III,MASS,WR,28,355,12.7,32,3
