Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Tristan Sinclair,STAN,LB,33,25,58,1.0,0,0,0,0,0,0
Keondre Swoopes,UAB,S,39,19,58,0.0,72,0,2,0,0,2
Dadrion Taylor-Demerson,TTU,DB,44,14,58,1.0,3,5,4,23,0,0
Jackson Bratton,UAB,LB,29,29,58,2.0,5,1,0,0,0,0
Decamerion Richardson,MSST,CB,38,20,58,1.0,17,4,0,0,0,0
Maxwell Hairston,UK,DB,46,12,58,0.0,5,4,5,83,2,1
Cody Moon,SDSU,LB,30,28,58,0.0,0,2,0,0,0,0
Shamari Simmons,ASU,DB,42,16,58,1.0,0,5,1,0,0,0
Walter Yates III,UCF,LB,32,25,57,0.0,11,2,0,0,0,0
Steele Chambers,OSU,LB,27,30,57,0.0,0,1,1,0,0,0
Damari Roberson,WMU,LB,26,31,57,0.5,40,4,1,0,0,1
Flip Dixon,RUTG,DB,39,18,57,0.0,14,4,1,0,0,0
Lee Hunter,UCF,DT,35,22,57,3.0,17,1,0,0,0,0
Jaden Voisin,USA,S,23,34,57,0.0,0,5,3,13,0,1
Jaylin Smith,USC,S,41,16,57,0.0,18,1,0,0,0,1
C.J. Baskerville,TTU,DB,42,15,57,0.0,0,4,0,0,0,0
Miles Scott,ILL,DB,45,12,57,0.0,0,3,1,48,1,0
Myles Rowser,NMSU,S,33,23,56,0.0,3,2,0,0,0,1
Trevor Woods,COLO,S,42,14,56,0.5,7,3,2,0,0,1
Jordan Riley,BALL,DB,36,20,56,0.0,0,6,0,0,0,0
Devin Turner,NU,DB,35,21,56,0.0,22,4,1,0,0,0
Collin Wright,STAN,CB,40,16,56,1.0,0,2,1,0,0,0
Clayton Powell-Lee,GT,DB,25,31,56,0.0,0,2,1,0,0,0
Kyle Moretti,CMU,LB,28,28,56,2.0,0,4,0,0,0,0
Taurean York,TA&M,LB,28,28,56,2.0,1,0,0,0,0,1
Shilo Sanders,COLO,S,45,10,55,0.0,3,3,1,80,1,2
Beau Brade,MD,DB,34,21,55,0.0,12,5,1,27,0,1
Ty'Ron Hopper,MIZ,LB,36,19,55,3.0,0,3,0,0,0,0
Jaylen Mahoney,VAN,DB,36,19,55,0.0,0,3,0,0,0,0
Chelen Garnes,WAKE,DB,28,27,55,1.5,0,5,0,0,0,0
Logan Wilson,UNT,S,35,20,55,0.0,0,3,0,0,0,0
Chris Conti,RICE,LB,25,30,55,0.5,0,0,1,15,0,0
Raishein Thomas,NIU,DE,27,28,55,1.5,0,1,0,0,0,0
Shemar James,FLA,LB,24,31,55,1.0,0,0,0,0,0,0
Harold Perkins Jr.,LSU,LB,32,23,55,5.0,0,4,1,0,0,3
Nick Emmanwori,SC,DB,34,21,55,0.0,0,7,0,0,0,0
Jordan Pollard,SJSU,LB,38,17,55,0.0,3,0,2,11,0,1
