Player,School,POS,ATT,YDS,AVG,LNG,TD
Davion Ervin-Poindexter,WKU,RB,46,183,4.0,18,1
Jared Brown,CCU,WR,12,183,15.3,77,1
Ethan Payne,MRSH,RB,50,183,3.7,22,0
Blake Horvath,NAVY,QB,37,183,4.9,29,0
James Jointer Jr.,LIB,RB,34,181,5.3,34,1
Devin Roche,ODU,RB,30,181,6.0,37,0
Dylan McDuffie,KU,RB,33,180,5.5,36,3
Jaziun Patterson,IOWA,RB,46,180,3.9,59,2
Cam Davis,SDSU,RB,41,177,4.3,25,0
Jaden Nixon,OKST,RB,42,177,4.2,34,1
Trey Sanders,TCU,RB,47,174,3.7,18,5
Braylon Braxton,TLSA,QB,40,174,4.3,46,0
Henry Rutledge,CLT,RB,14,174,12.4,55,0
Kenyon Clay,USM,RB,37,174,4.7,28,1
Ja'shon Benjamin,RUTG,RB,43,174,4.0,26,1
Cam Fancher,MRSH,QB,102,173,1.7,43,2
J.J. McCarthy,MICH,QB,45,171,3.8,22,3
Tai Lavatai,NAVY,QB,56,171,3.1,20,2
Tate Carney,WAKE,RB,35,171,4.9,74,3
Anthony Colandrea,UVA,QB,54,171,3.2,22,0
Jason Bean,KU,QB,37,169,4.6,38,1
AJ Bianco,NEV,QB,39,169,4.3,28,1
Jeremiah Cobb,AUB,RB,30,168,5.6,42,1
Kalel Mullings,MICH,RB,27,167,6.2,23,1
Jaydon Blue,TEX,RB,29,167,5.8,34,1
Durell Robinson,CLT,RB,40,166,4.2,16,1
Anthony Adkins,UCLA,RB,26,164,6.3,38,1
Treyaun Webb,FLA,RB,26,163,6.3,43,2
Obie Sanni,ODU,RB,45,162,3.6,18,0
Rodney Hill,FSU,RB,41,162,4.0,19,1
Anthony Tyus III,NU,RB,35,162,4.6,39,0
Edward Saydee,TEM,RB,52,161,3.1,21,0
Camden Orth,BGSU,QB,51,161,3.2,18,4
Devontae Houston,CONN,RB,34,161,4.7,27,0
Eli Heidenreich,NAVY,RB,17,161,9.5,46,1
Jordan Travis,FSU,QB,72,160,2.2,20,7
Brendan Sullivan,NU,QB,75,160,2.1,35,2
Miyan Williams,OSU,RB,49,158,3.2,12,3
Juwaun Price,SYR,RB,45,157,3.5,22,0
Dan Villari,SYR,TE,19,157,8.3,38,1
Lucky Sutton,SDSU,RB,30,157,5.2,62,2
Bennett Galloway,ULM,RB,21,157,7.5,41,0
Caleb Williams,USC,QB,90,156,1.7,46,11
Josh McCray,ILL,RB,43,156,3.6,14,2
Sherod White,UNM,RB,37,155,4.2,12,1
Jeffery Pittman,MSST,RB,38,155,4.1,22,0
Jacob Zeno,UAB,QB,78,154,2.0,44,4
DJ Uiagalelei,ORST,QB,55,153,2.8,26,6
Brandon Chatman,NAVY,RB,41,153,3.7,20,0
Xavier Townsend,UCF,WR,12,151,12.6,39,0
Tyler Shough,TTU,QB,48,149,3.1,58,2
Drew Allar,PSU,QB,63,149,2.4,21,4
Tybo Rogers,WASH,RB,34,148,4.4,22,0
Keegan Jones,UCLA,WR,11,147,13.4,38,2
Tyrell Robinson,ARMY,RB,31,147,4.7,25,2
Noah Whittington,ORE,RB,20,146,7.3,41,2
Terry Wilkins,MTSU,RB,18,146,8.1,75,1
Keldric Moody,LT,RB,33,146,4.4,24,0
Rayshon Luke,ARIZ,RB,30,145,4.8,40,1
Jensen Jones,AFA,QB,28,145,5.2,37,2
L.T. Sanders,WKU,RB,27,143,5.3,56,0
Elijah Collins,OKST,RB,30,142,4.7,26,2
Xavier Johnson,OSU,WR,21,142,6.8,27,0
Shaadie Clayton-Johnson,TULN,RB,34,142,4.2,17,0
Zylan Perry,UL,RB,39,142,3.6,17,1
Grant Wilson,ODU,QB,100,141,1.4,32,1
Brett Gabbert,M-OH,QB,49,140,2.9,26,2
Jadarian Price,ND,RB,28,140,5.0,23,2
Tony Mathis Jr.,HOU,RB,32,139,4.3,23,0
JuTahn McClain,UK,RB,26,138,5.3,36,1
Xavier Williams,KENT,RB,42,137,3.3,18,1
Jordan Brunson,M-OH,RB,12,137,11.4,57,1
Cameron Ward,WSU,QB,99,136,1.4,22,6
Daniel Carter,PITT,RB,27,134,5.0,22,2
Demie Sumo-Karngbaye,UK,RB,18,134,7.4,42,1
Samuel Brown V,RUTG,RB,40,134,3.3,11,2
Aiden Calvert,AFA,RB,16,134,8.4,22,0
Jamaal Bell,NEV,WR,28,133,4.8,31,1
Arnold Barnes III,TULN,RB,22,133,6.0,65,0
Quincy Patterson,TEM,QB,41,132,3.2,24,4
Caziah Holmes,FSU,RB,17,132,7.8,40,1
Chandler Rogers,UNT,QB,84,132,1.6,75,3
Jayden de Laura,ARIZ,QB,20,131,6.6,53,3
Trayvon Rudolph,NIU,WR,16,130,8.1,36,1
Jovantae Barnes,OU,RB,34,130,3.8,17,1
Jahmyl Jeter,TXST,RB,30,129,4.3,22,5
Djouvensky Schlenbaker,WSU,RB,28,129,4.6,20,0
Jaylen Anderson,WVU,RB,41,129,3.1,15,1
Joshua Fleeks,NEB,WR,15,128,8.5,74,1
Mitch Griffis,WAKE,QB,106,128,1.2,27,2
Kobe Johnson,CSU,RB,44,128,2.9,13,1
Drake Anderson,AKR,RB,37,126,3.4,15,1
Kaleb Jackson,LSU,RB,24,126,5.3,21,3
Roderick Robinson II,UGA,RB,17,126,7.4,36,2
Keyon Mozee,M-OH,RB,29,125,4.3,23,2
Nicco Marchiol,WVU,QB,34,124,3.6,22,1
Dillon Bell,UGA,WR,23,124,5.4,21,2
Quinten Joyner,USC,RB,16,124,7.8,47,1
Mike Franklin,UTEP,RB,30,124,4.1,9,2
Bryce Williams,MINN,RB,36,123,3.4,8,1
Dorian Lewis,UNM,RB,24,123,5.1,23,0
John Emery Jr.,LSU,RB,23,121,5.3,17,1
Bo Nix,ORE,QB,38,121,3.2,16,5
Austin Smith,EMU,QB,88,121,1.4,41,1
Dylan Paine,WSU,RB,20,121,6.1,52,1
CJ Ogbonna,BUFF,QB,29,121,4.2,10,2
Cash Jones,UGA,RB,16,121,7.6,57,1
Maddux Madsen,BOIS,QB,33,120,3.6,27,2
Justin Marshall,CSU,RB,18,119,6.6,21,1
Noah Cain,LSU,RB,27,118,4.4,15,3
Hudson Card,PUR,QB,81,118,1.5,21,4
Michael Johnson Jr.,FAU,QB,18,118,6.6,27,6
Domonique Thomas,CLEM,RB,18,116,6.4,19,1
Ramon Jefferson,UK,RB,14,115,8.2,74,0
Dakereon Joyner,SC,RB,49,115,2.3,16,5
Willie Shaw III,TOL,RB,28,115,4.1,14,0
Tahj Bullock,AKR,QB,46,114,2.5,27,2
Aveon Smith,M-OH,QB,34,113,3.3,48,1
Sedrick Irvin,STAN,RB,26,113,4.3,45,1
Gi'Bran Payne,ND,RB,31,111,3.6,12,1
Austin Reed,WKU,QB,36,110,3.1,26,4
Adrian Murdaugh,SHSU,WR,20,110,5.5,48,1
Jaivian Thomas,CAL,RB,18,110,6.1,27,1
Sy'veon Wilkerson,COLO,RB,33,109,3.3,10,2
Dylan Hopkins,UNM,QB,43,108,2.5,48,1
Justin Johnson Jr.,WVU,RB,32,108,3.4,30,1
Trey Potts,PSU,RB,20,107,5.3,20,2
Parker Navarro,OHIO,QB,10,107,10.7,52,0
CJ Hester,WMU,RB,27,107,4.0,29,2
Cooper Legas,USU,QB,61,106,1.7,13,0
Alex Flinn,ECU,QB,73,106,1.5,18,0
D.Q. James,WYO,RB,35,106,3.0,15,0
Joseph Himon II,NU,RB,26,106,4.1,32,0
Damarius Good,TXST,RB,11,105,9.5,24,0
Eli Stowers,NMSU,QB,19,105,5.5,26,2
Carlos Del Rio-Wilson,SYR,QB,21,105,5.0,27,1
Leo Pulalasi,WSU,RB,18,105,5.8,16,0
Velton Gardner,SMU,RB,27,104,3.9,23,1
Jaylen Coleman,DUKE,RB,22,104,4.7,15,0
Jayden McGowan,VAN,WR,16,104,6.5,18,0
Jacob Fields,LT,DB,24,104,4.3,30,2
Gerald Green,ECU,RB,24,103,4.3,46,2
Timmy McClain,UCF,QB,41,103,2.5,22,1
Ike Daniels,SYR,RB,18,103,5.7,22,0
Ashton Hayes,NEV,RB,30,102,3.4,35,0
Walter Taylor,VAN,QB,30,102,3.4,18,1
Isaac Jernagin,SJSU,WR,10,101,10.1,45,0
Jaison Patterson,BGSU,RB,29,101,3.5,20,1
Jakobi Buchanan,ARMY,RB,35,100,2.9,10,3
Tommy Ulatowski,KENT,QB,43,100,2.3,39,1
Jamari Ferrell,WYO,RB,27,100,3.7,17,1
Noah Smith,SHSU,WR,25,99,4.0,25,2
Carson Beck,UGA,QB,43,99,2.3,15,3
Barion Brown,UK,WR,8,99,12.4,26,0
Calvin Hill,TXST,RB,31,98,3.2,13,0
Brashard Smith,MIA,WR,7,98,14.0,80,0
Cade Klubnik,CLEM,QB,87,98,1.1,17,3
Ay'Jaun Marshall,ARMY,WR,8,98,12.3,36,0
Ja'Vin Simpkins,CCU,RB,13,98,7.5,22,1
A.J. Henning,NU,WR,22,97,4.4,17,1
Latrele Palmer,JMU,RB,27,97,3.6,13,1
Aaron Turner,CIN,WR,11,97,8.8,26,0
Martin Blake,SDSU,RB,26,97,3.7,12,1
Jordan Houston,NCSU,RB,25,96,3.8,15,0
Jordan Younge-Humphrey,UNLV,RB,12,96,8.0,32,1
Rico Barfield,BALL,RB,25,96,3.8,24,1
Justin Lynch,NIU,RB,11,96,8.7,30,1
Sean Jackson,AUB,RB,6,95,15.8,45,1
Justice Haynes,ALA,RB,16,95,5.9,16,0
Jayden Limar,ORE,RB,19,95,5.0,21,1
AJ Newberry,VAN,RB,19,94,4.9,29,0
Kelley Joiner,USF,RB,25,93,3.7,11,1
Jalen Berger,MSU,RB,25,93,3.7,12,1
Anthony Simpson,MASS,WR,11,93,8.5,17,1
Zane Minors,SMU,RB,19,93,4.9,14,0
Zach Hrbacek,SHSU,RB,37,93,2.5,10,0
Tylan Hines,HAW,RB,27,93,3.4,18,0
Kamari Moulton,IOWA,RB,23,93,4.0,18,2
Andrew Paul,UGA,RB,20,92,4.6,13,1
Fernando Mendoza,CAL,QB,30,91,3.0,16,2
Cade Yacamelli,WIS,RB,20,91,4.6,13,0
Trey Holly,LSU,RB,6,91,15.2,67,1
Cedric Hawkins,ARST,RB,18,90,5.0,28,0
Jake Retzlaff,BYU,QB,27,90,3.3,19,0
Jalil Farooq,OU,WR,16,89,5.6,22,0
Tyler Lavine,SMU,RB,25,89,3.6,13,4
Nasjzae Bryant-Lelei,HAW,RB,26,89,3.4,17,0
Aidan Chiles,ORST,QB,16,88,5.5,23,3
Harrison Barker,UAB,QB,15,87,5.8,12,0
Silas Bolden,ORST,WR,8,86,10.8,45,2
Chase Jenkins,RICE,QB,11,86,7.8,28,1
Brandon Thomas,MEM,RB,27,85,3.1,9,7
Rodney Gallagher,WVU,WR,14,85,6.1,15,0
Jekail Middlebrook,MTSU,RB,18,85,4.7,25,2
Colson Yankoff,UCLA,RB,13,83,6.4,25,1
Aaron Young,RUTG,RB,13,83,6.4,16,1
Jam Miller,ALA,RB,23,83,3.6,19,1
Markel Johnson,ARMY,RB,22,83,3.8,19,0
Kyson Brown,ASU,RB,20,83,4.2,15,0
David Bailey,TA&M,RB,14,81,5.8,19,0
Darwin Barlow,USC,RB,8,81,10.1,43,1
Shedro Louis,TULN,RB,27,81,3.0,16,0
Rocco Becht,ISU,QB,49,81,1.7,14,3
Larry Robinson,ARMY,QB,6,80,13.3,23,1
Athan Kaliakmanis,MINN,QB,62,79,1.3,19,2
