Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Zyrus Fiaseu,SDSU,LB,32,32,64,5.5,0,4,0,0,0,4
Kyle Efford,GT,LB,26,38,64,1.0,0,0,1,0,0,0
Nick Emmanwori,SC,DB,41,23,64,0.0,0,8,1,0,0,0
Howard Cross III,ND,DL,27,36,63,1.0,11,2,0,0,0,2
Levelle Bailey,FRES,LB,38,25,63,0.0,0,4,3,41,0,2
Damari Roberson,WMU,LB,30,33,63,0.5,13,4,1,0,0,1
Flip Dixon,RUTG,DB,45,18,63,0.0,0,4,1,0,0,0
Aaron Beasley,TENN,LB,34,29,63,3.0,18,3,1,39,1,0
Micheal Mason,CCU,DL,22,41,63,4.5,0,1,0,0,0,1
Kaleb Culp,TXST,S,41,22,63,0.0,7,5,0,0,0,0
Jaylin Smith,USC,S,46,17,63,1.0,0,1,0,0,0,1
Jasper Williams,UL,LB,34,29,63,2.0,19,0,0,0,0,0
Trey Kiser,USA,LB,29,34,63,3.5,0,2,0,0,0,1
Michael Moore,UAB,DL,33,30,63,1.0,3,1,0,0,0,1
Devin Richardson,WSU,LB,31,31,62,1.0,5,0,0,0,0,1
Steele Chambers,OSU,LB,31,31,62,0.0,1,1,1,0,0,0
Dadrion Taylor-Demerson,TTU,DB,48,14,62,1.0,3,5,4,23,0,0
Angelo Grose,MSU,DB,31,31,62,0.5,46,5,2,2,0,0
Malachi Langley,FRES,LB,28,34,62,1.0,0,0,0,0,0,0
Jakobe Thomas,MTSU,S,43,19,62,0.0,1,5,0,0,0,1
Devin Turner,NU,DB,38,24,62,0.0,12,4,1,0,0,0
Jordan Pollard,SJSU,LB,44,18,62,0.0,6,0,2,11,0,1
Jayden McDonald,TROY,LB,37,24,61,0.5,0,1,0,0,0,1
Ja'Terious Evans,ULM,LB,27,34,61,0.0,15,1,3,76,1,0
James Miller,USA,LB,23,38,61,0.0,0,0,0,0,0,0
Akili Arnold,ORST,DB,25,36,61,0.5,17,6,2,13,0,0
Darius Muasau,UCLA,LB,35,26,61,4.0,0,4,1,0,0,0
Calen Bullock,USC,S,42,19,61,0.0,0,7,2,30,1,0
Jaden Voisin,USA,S,26,35,61,0.0,3,6,4,13,0,1
Jayden Goodwin,AFA,S,23,38,61,1.0,0,5,0,0,0,0
Harold Perkins Jr.,LSU,LB,35,26,61,5.0,72,4,1,0,0,3
Francisco Mauigoa,MIA,LB,35,26,61,6.5,0,2,1,2,0,2
Kyle Moretti,CMU,LB,29,32,61,2.0,0,5,0,0,0,0
Nate Norris,WMU,LB,33,27,60,1.0,12,1,0,0,0,0
Jaylon King,GT,DB,33,27,60,0.0,0,7,4,66,0,0
Alan Tisdale,VT,LB,23,37,60,1.0,13,2,0,0,0,0
Coen King,UVA,S,47,13,60,0.0,0,5,0,0,0,2
LaVonta Bentley,COLO,LB,35,25,60,4.0,28,2,0,0,0,0
Darius McClendon,FAU,CB,38,22,60,0.0,0,2,0,0,0,2
Ethan Slade,BYU,S,36,24,60,0.0,0,3,1,22,0,0
Maxen Hook,TOL,S,33,27,60,0.0,93,3,3,0,0,1
Junior Colson,MICH,LB,24,36,60,0.0,0,0,0,0,0,0
Gunner Maldonado,ARIZ,S,44,16,60,0.0,0,1,0,0,0,1
Zach Zimos,LT,LB,26,34,60,1.0,0,0,0,0,0,0
Jordan Vincent,NMSU,S,27,33,60,2.0,0,3,0,0,0,0
Collin Wright,STAN,CB,42,18,60,1.0,0,4,1,0,0,0
Clayton Powell-Lee,GT,DB,26,34,60,0.0,0,2,1,0,0,0
Taurean York,TA&M,LB,31,29,60,3.0,7,0,0,0,0,1
Aaron Brule,MSU,LB,34,25,59,4.0,0,2,0,0,0,0
Beanie Bishop Jr.,WVU,CB,48,11,59,0.0,17,20,4,51,0,0
Tre Jenkins,SJSU,S,35,24,59,0.0,5,4,2,9,0,0
Cam'Ron Kelly,LOU,DB,28,31,59,0.0,10,2,2,0,0,2
Kalen DeLoach,FSU,LB,30,29,59,7.0,0,1,0,0,0,2
Carson Bruener,WASH,LB,28,31,59,0.0,0,3,1,33,0,1
Devin Neal,LOU,DB,38,21,59,0.0,9,6,4,38,0,0
Jamal Potts,FIU,DB,34,25,59,0.5,12,1,0,0,0,2
Ashanti Cistrunk,MISS,LB,28,31,59,2.5,0,0,1,28,0,0
