Player,School,POS,REC,YDS,AVG,LNG,TD
Aaron Turner,CIN,WR,11,89,8.1,21,2
Gamarion Carter,VAN,WR,3,89,29.7,41,0
Malcolm Johnson Jr.,AUB,WR,6,89,14.8,30,0
Trace Bruckler,UNM,TE,9,89,9.9,25,0
Chris Autman-Bell,MINN,WR,6,88,14.7,39,1
Jehlani Galloway,WMU,WR,14,88,6.3,19,0
Gavin Blackwell,UNC,WR,6,88,14.7,38,0
Taji Hudson,JMU,WR,8,88,11.0,32,1
Rico Barfield,BALL,RB,6,88,14.7,27,1
Brody Dalton,TROY,TE,5,88,17.6,27,0
Mitchel Collier,CMU,TE,10,88,8.8,20,3
Alex Tecza,NAVY,FB,14,88,6.3,16,0
Ulysses Bentley IV,MISS,RB,11,87,7.9,25,1
Mavin Anderson,CAL,WR,8,87,10.9,24,0
Brock Lampe,NIU,FB,7,87,12.4,26,0
Destyn Hill,FSU,WR,6,87,14.5,30,0
Riley Smith,BOIS,TE,9,86,9.6,25,1
Jackson Acker,WIS,RB,18,86,4.8,26,1
Vincent Davis Jr.,UNLV,RB,9,86,9.6,27,1
Gavin Freeman,OU,WR,18,86,4.8,13,1
Tucker Ashcraft,WIS,TE,8,86,10.8,24,1
Chris Dawn Jr.,TXST,WR,9,86,9.6,19,0
Dontae Smith,GT,RB,8,85,10.6,32,1
Jared Casey,KU,TE,7,85,12.1,24,2
Rashod Dubinion,ARK,RB,14,85,6.1,26,1
Cayden Lee,MISS,WR,2,85,42.5,51,2
Koby Duru,LT,WR,6,84,14.0,53,2
Le'Veon Moss,TA&M,RB,11,84,7.6,19,0
Kylen Austin,LIB,WR,3,84,28.0,46,0
Vinny Anthony II,WIS,WR,7,84,12.0,35,0
CJ Baxter,TEX,RB,18,84,4.7,15,0
Joshua Thompson,GASO,WR,2,84,42.0,43,0
Keshawn Wicks,ODU,RB,12,83,6.9,21,1
Rodney Hill,FSU,RB,5,83,16.6,48,0
David Amador,UTSA,WR,10,83,8.3,25,0
Chase Hendricks,OHIO,WR,8,83,10.4,20,0
Richie Hoskins,VAN,WR,6,83,13.8,27,2
Malik Jackson,JVST,RB,15,82,5.5,16,0
Logan Diggs,LSU,RB,8,82,10.3,18,0
Max Balthazar,CCU,RB,11,82,7.5,42,1
Antonio Gates Jr.,MSU,WR,5,82,16.4,45,1
Malachi Riley,ARIZ,WR,3,82,27.3,40,0
Cameron Ball,BUFF,TE,8,82,10.3,32,0
CC Ezirim,TOL,TE,4,82,20.5,35,0
Luke Benson,GT,TE,8,81,10.1,38,0
Nathaniel Peat,MIZ,RB,6,81,13.5,49,1
Avery Boyd,GT,WR,6,81,13.5,31,2
Trey Walker,IU,TE,10,81,8.1,20,1
Kaytron Allen,PSU,RB,14,81,5.8,15,1
Darius Taylor,MINN,RB,9,81,9.0,25,0
Parker Jenkins,HOU,RB,15,81,5.4,27,0
Tyshawn Russell,SC,WR,5,81,16.2,50,1
Malcolm Gillie,BALL,WR,9,81,9.0,18,0
Kelsey Johnson,BAY,TE,11,80,7.3,21,0
Ayden Williams,MISS,WR,4,80,20.0,43,0
Carson Hansen,ISU,RB,10,80,8.0,16,0
Cooper Rusk,TOL,WR,6,80,13.3,33,2
Jacob Kibodi,UL,RB,9,79,8.8,37,1
Tony Mathis Jr.,HOU,RB,11,79,7.2,24,1
Bradley Archer,IU,TE,6,79,13.2,24,0
Aidan Bitter,ISU,WR,5,79,15.8,45,0
Jere Getzinger,EMU,TE,15,79,5.3,10,1
Austin Jones,USC,RB,9,79,8.8,24,1
Vann Schield,CSU,RB,11,79,7.2,16,0
Noah Whittington,ORE,RB,10,78,7.8,31,0
Jake Clemons,CLT,TE,11,78,7.1,19,1
Talyn Shettron,OKST,WR,6,78,13.0,19,0
DJ Rogers,TCU,TE,7,78,11.1,22,1
Camden Brown,AUB,WR,8,78,9.8,15,0
Mason Williams,OHIO,TE,3,78,26.0,34,1
Sean Dollars,NEV,RB,18,77,4.3,26,0
Michel Dukes,USF,RB,8,77,9.6,39,0
Keegan Jones,UCLA,WR,8,77,9.6,26,0
Will Nixon,WASH,RB,10,77,7.7,18,0
Monte Watkins,NMSU,RB,8,77,9.6,39,1
Marshall Lang,NU,TE,8,77,9.6,23,0
Devin Voisin,USA,WR,5,77,15.4,29,1
Billy Riviere III,WSU,TE,8,77,9.6,18,0
Tyrell Robinson,ARMY,RB,6,77,12.8,23,0
Sam Scott,WYO,RB,11,77,7.0,18,0
Nathan Kent,NAVY,WR,4,77,19.3,35,1
Jordan Smith,NMSU,WR,6,77,12.8,29,0
Deshaun Fenwick,ORST,RB,9,76,8.4,20,2
Solo Vaipulu,HAW,OL,9,76,8.4,23,0
Marcus Major,OU,RB,12,75,6.3,27,1
Jonathan Odom,FLA,TE,9,75,8.3,23,0
Raheim Sanders,ARK,RB,10,75,7.5,38,0
Nate Noel,APP,RB,14,75,5.4,15,0
Will Pelissier,WYO,WR,6,75,12.5,34,1
Davis Dalton,USM,WR,6,75,12.5,22,0
Decorion Temple,CMU,TE,6,75,12.5,22,0
Miller Gibbs,APP,TE,6,74,12.3,26,0
Ife Adeyi,SHSU,WR,7,74,10.6,26,0
Ay'Jaun Marshall,ARMY,WR,7,74,10.6,20,0
Rodney Gallagher,WVU,WR,10,74,7.4,14,0
George Burhenn,PUR,TE,5,74,14.8,33,1
British Brooks,UNC,RB,14,73,5.2,12,0
Markese Stepp,WKU,RB,7,73,10.4,26,0
Terrell McDonald,UAB,TE,7,73,10.4,26,0
Dontae Fleming,TULN,WR,5,73,14.6,39,0
Le'Meke Brockington,MINN,WR,5,73,14.6,25,1
Jordan Nabors,BAY,WR,8,73,9.1,43,0
Maurice Turner,LOU,RB,8,73,9.1,27,0
Yamir Knight,JMU,WR,8,73,9.1,16,0
Ali Jennings,VT,WR,5,72,14.4,44,2
Blake Corum,MICH,RB,11,72,6.5,20,0
Tahj Brooks,TTU,RB,24,72,3.0,12,0
Jacory Croskey-Merritt,UNM,RB,7,72,10.3,31,1
Shaadie Clayton-Johnson,TULN,RB,5,72,14.4,29,0
Hunter Smith,ULM,RB,8,71,8.9,20,0
John Humphreys,STAN,WR,5,71,14.2,31,1
Loic Fouonji,TTU,WR,5,71,14.2,25,1
Deion Hankins,UTEP,RB,7,71,10.1,35,0
Joshua Cobbs,HOU,WR,8,71,8.9,17,0
Malik McClain,PSU,WR,6,71,11.8,25,1
Anthony Hankerson,COLO,RB,16,71,4.4,12,1
Timothy Conerly,UNLV,WR,7,71,10.1,23,0
Regis Velez,NAVY,WR,3,71,23.7,45,2
Hykeem Williams,FSU,WR,4,71,17.8,44,1
Karsyn Pupunu,HAW,WR,5,71,14.2,33,0
Adrian Norton,AKR,WR,9,71,7.9,17,0
Jaylan Franklin,MSU,TE,5,70,14.0,46,0
Jayden Umbarger,NAVY,WR,8,70,8.8,22,0
Chance Morrow,BUFF,WR,4,70,17.5,29,0
Jaquaize Pettaway,OU,WR,11,70,6.4,13,0
Joshua Fleeks,NEB,WR,8,69,8.6,25,0
Jaylan Knighton,SMU,RB,8,69,8.6,28,0
Trevor Kardell,KU,TE,5,69,13.8,20,1
Demie Sumo-Karngbaye,UK,RB,14,69,4.9,18,1
Cameron Harpole,SDSU,TE,7,69,9.9,21,0
Victor Rosa,CONN,RB,12,69,5.8,16,0
Tawee Walker,OU,RB,8,69,8.6,16,0
Leshon Williams,IOWA,RB,11,68,6.2,25,1
Trent Battle,TCU,RB,4,68,17.0,41,0
Amari Daniels,TA&M,RB,13,68,5.2,14,0
L.T. Sanders,WKU,RB,8,68,8.5,19,0
Isaiah Essissima,NEV,CB,2,67,33.5,43,0
Oronde Gadsden II,SYR,TE,7,67,9.6,17,1
Kaydin Pope,UNM,WR,6,67,11.2,46,1
Jackson Harris,STAN,WR,3,67,22.3,44,0
Adam Moore,SMU,TE,4,67,16.8,52,0
Stephan Bracey Jr.,CMU,WR,10,66,6.6,24,0
Will Swanson,KSU,TE,5,66,13.2,21,1
Michael Allen,NCSU,RB,11,66,6.0,19,0
Brandon Frazier,AUB,TE,5,66,13.2,39,1
Myles Walker,AKR,WR,8,66,8.3,16,1
Kendrick Raphael,NCSU,RB,7,66,9.4,21,0
Deion Smith,BYU,RB,10,65,6.5,37,1
Michael Trigg,MISS,TE,4,65,16.3,21,1
Jalen White,GASO,RB,16,65,4.1,11,1
Jadarian Price,ND,RB,5,65,13.0,40,1
Hank Beatty,ILL,WR,8,65,8.1,26,0
Juice Vereen,NCSU,TE,4,65,16.3,22,0
Donovan Faupel,NMSU,WR,6,65,10.8,15,0
George Takacs,BC,TE,6,64,10.7,27,1
Billy Dozier,NIU,WR,5,64,12.8,24,0
Jaquez Moore,DUKE,RB,4,64,16.0,28,0
Jeremiyah Love,ND,RB,7,64,9.1,33,0
Isaiah Jacobs,UAB,RB,17,63,3.7,13,0
Harrison Waylee,WYO,RB,9,63,7.0,12,0
Cam McCormick,MIA,TE,8,62,7.8,20,0
Gee Scott Jr.,OSU,TE,9,62,6.9,14,1
Otto Tia,USU,WR,5,62,12.4,37,0
Mark Fletcher Jr.,MIA,RB,7,62,8.9,25,0
Shane Johnson,SHSU,WR,6,62,10.3,19,0
Jai'Den Thomas,UNLV,RB,7,62,8.9,19,0
Asa Martin,TROY,RB,8,61,7.6,20,1
Justice Ellison,WAKE,RB,10,61,6.1,18,0
Doug Emilien,KU,WR,6,61,10.2,21,0
Kyle Monangai,RUTG,RB,6,61,10.2,20,0
Kevorian Barnes,UTSA,RB,14,61,4.4,14,0
Jaylen Jenkins,WSU,RB,6,61,10.2,22,0
Tybo Rogers,WASH,RB,4,61,15.3,47,0
Rodney Hammond Jr.,PITT,RB,8,60,7.5,15,0
Elijah Spencer,MINN,WR,7,60,8.6,15,2
Stevo Klotz,ISU,TE,7,60,8.6,24,1
Ron Wiggins,JVST,RB,6,60,10.0,17,0
Austin Henderson,LIB,TE,8,60,7.5,16,3
Kyirin Heath,MISS,TE,4,60,15.0,21,0
Vandrevius Jacobs,FSU,WR,3,60,20.0,28,1
Jonah Wilson,HOU,WR,2,60,30.0,60,1
Liam Fortner,ARMY,WR,2,60,30.0,53,0
Darrell Gill Jr.,SYR,WR,7,60,8.6,18,1
Josh Lifson,LOU,TE,6,59,9.8,19,0
Devontae Houston,CONN,RB,4,59,14.8,37,1
Zach Fryar,UTEP,TE,10,59,5.9,19,1
Aaron Anderson,LSU,WR,12,59,4.9,14,0
Makhi Hughes,TULN,RB,10,59,5.9,12,0
Riley Williams,MIA,TE,7,59,8.4,22,1
Zeke Moore,FAU,TE,12,59,4.9,9,2
CJ Donaldson Jr.,WVU,RB,9,59,6.6,18,0
Corri Milliner,UAB,WR,1,59,59.0,59,0
Javoni Gardere,UTEP,WR,4,59,14.8,25,1
John Emery Jr.,LSU,RB,3,58,19.3,49,0
Da'Wain Lofton,VT,WR,6,58,9.7,15,0
Gi'Bran Payne,ND,RB,9,58,6.4,42,2
Reggie Love III,ILL,RB,9,58,6.4,11,0
DJ Riles,MTSU,QB,4,58,14.5,42,1
Brandon Inniss,OSU,WR,1,58,58.0,58,1
Jaylon Griffin,UCF,WR,4,58,14.5,36,1
Bud Tolbert,ULM,WR,6,58,9.7,22,1
Trey Potts,PSU,RB,4,57,14.3,30,1
Anthony Watkins,TLSA,RB,9,57,6.3,10,0
Zahir Abdus-Salaam,WMU,RB,14,57,4.1,12,0
Chris Mottillo,MRSH,TE,5,56,11.2,20,0
Kevens Clercius,CONN,WR,5,56,11.2,25,1
Caziah Holmes,FSU,RB,4,56,14.0,26,2
Solo Lewis,LT,WR,2,56,28.0,43,0
Obie Sanni,ODU,RB,6,56,9.3,13,0
Kaden Saunders,PSU,WR,6,56,9.3,17,1
Riley Nowakowski,WIS,TE,6,56,9.3,23,1
Josh Sapp,CLEM,TE,6,56,9.3,25,2
Tre Bradford,LSU,RB,1,55,55.0,55,0
Devon Tauaefa,HAW,TE,5,55,11.0,26,1
Brennan Parachek,MSU,TE,6,55,9.2,17,0
Pearse Migl,UL,TE,6,54,9.0,24,0
JoVoni Johnson-McCray,RICE,WR,3,54,18.0,23,0
Omarion Dollison,JMU,WR,1,54,54.0,54,1
Jordan Johnson,HAW,RB,9,54,6.0,17,0
Horatio Fields,WAKE,WR,5,54,10.8,15,0
Dawson Menegatti,CSU,WR,6,54,9.0,17,0
Zach Ortwerth,IOWA,TE,1,54,54.0,54,0
Jaden Gibson,UVA,WR,5,54,10.8,23,0
Ja'shon Benjamin,RUTG,RB,4,54,13.5,33,1
Charlie Mangieri,NU,TE,7,53,7.6,25,1
Matt Alaimo,CCU,TE,9,53,5.9,12,0
Cameron Johnson,WSU,TE,6,53,8.8,15,0
Chip Trayanum,OSU,RB,9,53,5.9,19,0
James Bomba,IU,TE,6,53,8.8,15,1
Cam Davis,SDSU,RB,16,53,3.3,16,0
Josh Meredith,WSU,WR,3,53,17.7,21,1
Ja'Quinden Jackson,UTAH,RB,9,53,5.9,18,0
Trent Walker,ORST,WR,3,53,17.7,24,0
Keldric Moody,LT,RB,7,53,7.6,13,0
Jamoni Jones,NMSU,RB,6,53,8.8,17,0
Kentron Poitier,FSU,WR,2,52,26.0,33,0
Brian Battie,AUB,RB,7,52,7.4,13,0
Sage Ennis,CLEM,TE,3,52,17.3,28,0
Jaydon Blue,TEX,RB,7,52,7.4,12,0
Gavin Sawchuk,OU,RB,11,52,4.7,9,0
Jordan Bly,ODU,WR,13,52,4.0,19,1
Antario Brown,NIU,RB,12,52,4.3,11,1
Javious Bond,ECU,RB,10,52,5.2,19,0
Malik Elzy,ILL,WR,5,52,10.4,19,1
Ayo Adeyi,UNT,RB,7,52,7.4,15,0
Anton Hall Jr.,NAVY,RB,3,52,17.3,45,1
Kalani Norris,MTSU,WR,10,51,5.1,18,1
Tyrese Chambers,MD,WR,7,51,7.3,12,1
Nate Boerkircher,NEB,TE,5,51,10.2,17,0
Denzel Boston,WASH,WR,5,51,10.2,12,0
Sean Sallis,MRSH,TE,5,51,10.2,25,1
Andrew Jacobs,CLT,WR,6,51,8.5,20,0
Joquez Smith,TEM,RB,10,51,5.1,15,1
Abu Sama III,ISU,RB,7,51,7.3,21,0
Isaiah Ifanse,CAL,RB,8,50,6.3,18,1
Jalen McGaughy,CMU,WR,4,50,12.5,20,0
Donovan Ollie,CIN,WR,2,50,25.0,40,0
Sy'veon Wilkerson,COLO,RB,5,50,10.0,18,0
Bill Jackson,TLSA,RB,8,50,6.3,10,0
Xavier Irvin,TEM,WR,3,50,16.7,28,0
Corey Thompson Jr.,UNLV,WR,3,50,16.7,29,1
Rahsul Faison,USU,RB,9,50,5.6,26,0
Tyler Stephens,MIZ,TE,5,49,9.8,20,0
Corey Kiner,CIN,RB,12,49,4.1,16,0
Jaden Walley,MSST,WR,5,49,9.8,19,1
Roydell Williams,ALA,RB,10,49,4.9,26,1
Jaylon Glover,UTAH,RB,6,49,8.2,17,0
Tucker Holloway,VT,WR,5,49,9.8,17,0
Kyson Brown,ASU,RB,9,49,5.4,27,0
Messiah Swinson,ASU,TE,6,48,8.0,18,0
Ian Stewart,TEM,WR,6,48,8.0,16,0
Chase Penry,BOIS,WR,5,48,9.6,18,0
Shaleak Knotts,MD,WR,6,48,8.0,16,0
Damari Alston,AUB,RB,8,48,6.0,11,0
Nick Presley,BALL,WR,7,48,6.9,10,0
Kadarius Calloway,ODU,RB,8,48,6.0,13,1
DeCarlos Brooks,ASU,RB,7,47,6.7,11,0
Camari Williams,NAVY,WR,7,47,6.7,12,1
Shomari Lawrence,FIU,RB,8,47,5.9,17,0
Wyatt McClour,UNM,TE,2,47,23.5,29,1
Joachim Bangda,CLT,RB,5,46,9.2,15,0
Johnny Richardson,UCF,RB,12,46,3.8,8,0
Emmett Johnson,NEB,RB,7,46,6.6,13,0
Jeremiah Hasley,DUKE,TE,4,46,11.5,21,1
Daba Fofana,NAVY,FB,5,46,9.2,17,0
Tyler Harrell,MIA,WR,4,45,11.3,14,0
Jarrad Baker,UCF,WR,7,45,6.4,19,0
Deion Colzie,ND,WR,3,45,15.0,25,1
Jordan Mosley,MSST,WR,3,45,15.0,19,1
Jermaine Terry II,ORST,TE,4,45,11.3,40,1
Khalil Dinkins,PSU,TE,4,45,11.3,16,2
Omari Kelly,AUB,WR,2,45,22.5,40,0
LJ Martin,BYU,RB,11,45,4.1,13,1
Kyle Thomas,NIU,WR,1,45,45.0,45,0
Shelton Zeon III,UNLV,TE,5,44,8.8,12,0
Ja'Quavion Fraziars,FLA,WR,4,44,11.0,13,0
Dylan Downing,PUR,RB,5,44,8.8,14,0
Charlie Gordinier,BC,TE,2,44,22.0,30,0
Camar Wheaton,SMU,RB,3,44,14.7,25,0
Kaylon Horton,UNT,WR,6,44,7.3,13,1
Andre Dollar,WSU,TE,3,44,14.7,20,0
Malachi Thomas,VT,RB,8,44,5.5,21,0
Anthony Brown-Stephens,UK,WR,5,44,8.8,20,1
Matt Byrnes,HOU,TE,6,44,7.3,18,0
Jostein Clarke,UTEP,WR,3,44,14.7,20,1
Cody Howard,NAVY,WR,2,44,22.0,32,0
Beau Corrales,TXST,WR,2,43,21.5,26,0
Reese White,CCU,RB,8,43,5.4,15,0
LJ Johnson Jr.,SMU,RB,5,43,8.6,16,0
Rahjai Harris,ECU,RB,7,43,6.1,12,1
Eli Sanders,ISU,RB,5,43,8.6,14,1
Jam Miller,ALA,RB,2,43,21.5,35,0
Christian Lee,UNT,TE,4,43,10.8,34,0
Alex Broome,BC,RB,5,43,8.6,20,1
Zach Hrbacek,SHSU,RB,7,43,6.1,21,0
Julien Lewis,LT,WR,2,43,21.5,37,0
Randy Fields Jr.,CLT,WR,6,42,7.0,13,0
Adam Beale,TOL,WR,3,42,14.0,22,0
Miyan Williams,OSU,RB,4,42,10.5,27,0
Devin Boddie Jr.,WYO,WR,5,42,8.4,19,0
Miki Suguturaga,UTAH,TE,4,42,10.5,17,1
Jay Rockwell,SHSU,WR,7,42,6.0,12,1
John Lee Eldridge III,AFA,RB,6,42,7.0,17,1
Xzavior Kautai,UNT,TE,7,42,6.0,12,2
Thomas Jewett,SHSU,TE,9,42,4.7,11,0
Jaylen Anderson,WVU,RB,4,42,10.5,10,0
Greyson Morgan,HAW,TE,7,42,6.0,20,0
Skylar Loving-Black,SJSU,TE,4,41,10.3,29,0
Jalen Mitchell,CONN,RB,6,41,6.8,14,0
Antavious Willis,USM,RB,3,41,13.7,21,0
Casey Filkins,STAN,RB,6,41,6.8,16,0
Kendall Long,SYR,WR,3,41,13.7,25,1
Andison Coby,IU,WR,5,41,8.2,16,1
Markel Johnson,ARMY,RB,2,41,20.5,26,0
Chris Culliver,UNC,WR,1,41,41.0,41,1
Kenari Wilcher,ILL,WR,4,41,10.3,31,0
Raymond Niro III,NU,WR,3,40,13.3,19,0
Tyre Shelton,LT,RB,9,40,4.4,21,0
Genson Hooper Price,CCU,WR,1,40,40.0,40,0
Torry Locklin,KU,RB,4,40,10.0,25,1
Jalen Berger,MSU,RB,5,40,8.0,11,0
Kejon Owens,FIU,RB,9,40,4.4,10,0
Chauncey Magwood,UCF,WR,4,40,10.0,18,0
Jabari Small,TENN,RB,7,40,5.7,14,0
Caleb Anderson,AKR,WR,6,40,6.7,9,0
Josh Dallas,GASO,WR,4,40,10.0,15,0
Kaleb Jackson,LSU,RB,5,40,8.0,13,0
Adrian Murdaugh,SHSU,WR,8,40,5.0,15,0
Andrew Henry,UNM,RB,5,40,8.0,11,0
Marcus Vinson,UTEP,TE,3,40,13.3,29,1
Jalen Butler,ODU,TE,8,40,5.0,13,0
Billy Lucas,LIB,RB,3,39,13.0,16,0
Kiael Kelly,BALL,QB,6,39,6.5,13,0
Chris Carpenter,UTSA,WR,5,39,7.8,16,0
Jake McConnachie,PITT,WR,1,39,39.0,39,1
Andreas Paaske,EMU,TE,4,39,9.8,21,0
Eli Raridon,ND,TE,3,39,13.0,19,1
Tennel Bryant,ARST,WR,5,39,7.8,20,0
Davon Booth,USU,RB,10,39,3.9,9,0
Zakhari Franklin,MISS,WR,4,38,9.5,16,1
Gerald Green,ECU,RB,8,38,4.8,11,0
Juwaun Price,SYR,RB,3,38,12.7,21,0
Mehki Wall,DUKE,WR,6,38,6.3,13,1
Kaleb Mathis,COLO,WR,6,38,6.3,14,0
Hayden Junker,KENT,TE,3,37,12.3,21,1
Lee Witherspoon,UAB,RB,6,37,6.2,12,0
Jaren Mangham,MSU,RB,7,37,5.3,8,0
Ethan Hall,TLSA,TE,7,37,5.3,21,0
Antwane Wells Jr.,SC,WR,3,37,12.3,17,1
Ayden Greene,VT,WR,4,37,9.3,12,0
Jontavis Robertson,DUKE,WR,4,36,9.0,12,0
Errol Rogers Jr.,LIB,WR,1,36,36.0,36,0
Keilan Robinson,TEX,RB,6,36,6.0,16,0
Trent Whittemore,UCF,WR,3,36,12.0,25,0
Hudson Wolfe,MISS,TE,2,36,18.0,18,0
Winston Wright Jr.,FSU,WR,4,36,9.0,18,0
Andre Johnson,ASU,WR,4,36,9.0,20,0
Tyler Batty,BYU,DE,1,36,36.0,36,0
Ty Hahn,NEB,WR,4,36,9.0,21,0
Isaiah Johnson,UNT,RB,9,36,4.0,15,0
Ray Ray Joseph,MIA,WR,6,36,6.0,19,0
Kenny Brewer III,CMU,WR,3,35,11.7,21,0
Kyi Wright,JMU,TE,4,35,8.8,11,0
Shedro Louis,TULN,RB,4,35,8.8,15,0
Kahlil Brantley,FAU,TE,5,35,7.0,14,1
Levi Gazarek,BGSU,TE,6,35,5.8,15,0
Cameron Bonner,BAY,WR,4,35,8.8,15,0
Branden Alvarez,SJSU,WR,3,35,11.7,19,1
Bryan Robinson,MRSH,WR,5,35,7.0,12,0
Mike Washington,BUFF,RB,13,35,2.7,13,0
Demond Claiborne,WAKE,RB,3,35,11.7,22,0
Tate Carney,WAKE,RB,3,35,11.7,20,0
Kylish Hicks,CONN,WR,3,35,11.7,16,1
Zachary Card,ORST,WR,5,35,7.0,14,0
Jaron Tibbs,PUR,WR,4,35,8.8,14,0
Mike Franklin,UTEP,RB,4,35,8.8,11,0
Jaylon Tillman,BGSU,WR,1,35,35.0,35,1
Djay Braswell,SC,RB,3,35,11.7,30,0
Devyn Ford,ND,RB,4,34,8.5,12,1
Mike Hollins,UVA,RB,10,34,3.4,8,1
Keyshawn Woodyard,USA,WR,2,34,17.0,21,0
Keyan Burnett,ARIZ,TE,3,34,11.3,17,0
Tyson Riley,ARMY,RB,4,34,8.5,22,2
Ron Tiavaasue,NMSU,TE,2,34,17.0,28,0
Marlon Gunn Jr.,ECU,RB,5,34,6.8,13,0
Reggie Virgil,M-OH,WR,1,34,34.0,34,1
Brendan Doyle,MEM,TE,7,34,4.9,10,4
Zion Carter,BUFF,TE,4,33,8.3,15,0
Quinton Cooley,LIB,RB,4,33,8.3,16,0
Aidan Robbins,BYU,RB,7,33,4.7,12,0
LV Bunkley-Shelton,OU,WR,3,33,11.0,16,0
Bralon Brown,MISS,WR,2,33,16.5,29,0
Louis Hansen,CONN,TE,2,33,16.5,18,0
Darrius Clemons,MICH,WR,3,33,11.0,19,0
Peter Kikwata,GAST,WR,3,33,11.0,21,0
Robbie Ouzts,ALA,TE,3,33,11.0,21,1
Jordan McDonald,UCF,RB,1,33,33.0,33,0
Ethan Davis,TENN,TE,2,33,16.5,19,0
Ja'Kobi Lane,USC,WR,4,33,8.3,12,0
Quinton Jackson,RICE,RB,6,33,5.5,9,0
Casey Kelly,ORE,TE,4,32,8.0,19,2
Chris Scott,CIN,WR,2,32,16.0,32,0
Matt Sykes,RICE,WR,1,32,32.0,32,0
Kobe Johnson,CSU,RB,4,32,8.0,13,0
Jabari Bates,SJSU,RB,9,32,3.6,12,0
Calvin Johnson II,NU,WR,4,32,8.0,11,0
Djouvensky Schlenbaker,WSU,RB,5,32,6.4,11,1
Nehemiah Martinez I,TTU,WR,2,32,16.0,31,0
Fredrick Moore,MICH,WR,4,32,8.0,10,0
Cedric Hawkins,ARST,RB,2,32,16.0,21,0
Micah Riley,AUB,TE,1,32,32.0,32,1
Ezell Jolly,UTEP,RB,5,32,6.4,20,0
Vince Brown II,CSU,TE,4,32,8.0,11,0
Bryce Williams,MINN,RB,4,31,7.8,15,0
Gunner Gentry,WYO,WR,3,31,10.3,17,1
Nathan Bax,ARK,TE,5,31,6.2,11,0
Tyler Savage,ECU,TE,6,31,5.2,9,0
Jacob Hopper,USA,TE,3,31,10.3,14,1
Payton Mangrum,SC,WR,2,31,15.5,19,0
Tanaka Scott,KU,WR,3,31,10.3,21,0
Vaughn Pemberton,BALL,RB,7,31,4.4,9,1
Jayden Limar,ORE,RB,6,31,5.2,11,0
Sean Brown,CLT,WR,3,31,10.3,19,0
DeAndre Buchannon,GASO,WR,4,31,7.8,10,0
KD Dorsey,GASO,WR,5,31,6.2,11,0
Jekail Middlebrook,MTSU,RB,4,31,7.8,21,0
Marquis Montgomery,CAL,WR,3,31,10.3,13,0
Henry Parrish Jr.,MIA,RB,10,30,3.0,12,0
Ja'Corey Brooks,ALA,WR,3,30,10.0,25,0
Dan Dishman,UTSA,TE,3,30,10.0,17,0
Josh McCray,ILL,RB,6,30,5.0,10,0
Blake Smith,OU,TE,2,30,15.0,28,1
Jayden York,TTU,TE,3,30,10.0,19,1
Jeremiah Cobb,AUB,RB,5,30,6.0,11,2
Rashid Williams,WASH,WR,2,30,15.0,18,0
Jake Boust,FRES,TE,4,30,7.5,12,1
Kade Zimmerman,UNM,WR,1,30,30.0,30,0
Deuce Alexander,WAKE,WR,2,30,15.0,19,1
Desirrio Riles,ECU,TE,9,30,3.3,14,0
Latrele Palmer,JMU,RB,3,29,9.7,13,0
Samuel Brown V,RUTG,RB,2,29,14.5,27,0
Jackson Sumlin,FAU,TE,4,29,7.3,11,0
Andrew Sowinski,PUR,WR,3,29,9.7,12,0
Wyatt Sullivan,FAU,TE,5,29,5.8,12,0
Pearce Spurlin III,UGA,TE,2,29,14.5,25,0
Trayv'on Culbert,UL,WR,4,29,7.3,12,1
Hayden Reed,ARMY,RB,4,29,7.3,10,0
Shadrick Byrd,CLT,RB,7,28,4.0,19,0
Chris Long,RUTG,WR,2,28,14.0,19,0
Charvis Thornton,LT,RB,7,28,4.0,10,1
Rocko Griffin,UTSA,RB,8,28,3.5,7,0
Calvin Hill,TXST,RB,4,28,7.0,8,0
Jake Orlando,BUFF,TE,4,28,7.0,13,0
Carter Campbell,SMU,WR,2,28,14.0,18,0
Donovan Smith,HOU,QB,1,28,28.0,28,1
Elijah Jackson-Anderson,EMU,RB,1,28,28.0,28,1
Jaydon Johnson,UL,WR,2,28,14.0,16,0
Chase Gillespie,VAN,RB,5,28,5.6,13,0
Jordan McCants,JVST,WR,1,28,28.0,28,0
Cole Turner,CLEM,WR,3,28,9.3,11,0
Harold Joiner III,MSU,LB,4,27,6.8,10,0
Julian Ortega-Jones,TXST,WR,3,27,9.0,17,0
Keshawn King,WMU,RB,2,27,13.5,14,0
Ashton Stredick,CAL,RB,4,27,6.8,16,0
Terion Stewart,BGSU,RB,1,27,27.0,27,0
Jay Rudolph,SDSU,TE,4,27,6.8,14,0
K'Wan Powell,USF,RB,5,27,5.4,12,0
Jaylen Coleman,DUKE,RB,6,27,4.5,11,0
Allan Houston,LOU,WR,3,27,9.0,17,0
Cam'Ron Valdez,TTU,RB,3,27,9.0,15,0
Alante Brown,MSU,WR,3,27,9.0,20,0
Mason Fakahua,BYU,TE,6,27,4.5,11,0
Kevin Diaz,ARST,TE,3,27,9.0,14,0
De'Andre Coleman,CCU,WR,1,27,27.0,27,1
Langston Lewis,CMU,WR,2,27,13.5,22,0
Rico Walker,MD,TE,4,27,6.8,16,0
Robby Washington,MIA,WR,2,27,13.5,18,0
Jordan Nubin,MINN,RB,6,27,4.5,19,0
