Player,School,POS,REC,YDS,AVG,LNG,TD
Jaylin Lane,VT,WR,37,524,14.2,75,6
Tykee Ogle-Kellogg,UTSA,WR,30,521,17.4,46,7
Jeff Foreman,ARST,WR,25,521,20.8,46,4
Jared Wiley,TCU,TE,47,520,11.1,81,8
Tyler Brown,CLEM,WR,51,519,10.2,47,4
Jonathan Brady,NMSU,WR,33,518,15.7,80,3
Devin McCuin,UTSA,WR,39,518,13.3,72,3
Evan Stewart,TA&M,WR,38,514,13.5,44,4
Beaux Collins,CLEM,WR,38,510,13.4,69,3
Trond Grizzell,CAL,WR,35,510,14.6,54,5
Tayvion Robinson,UK,WR,37,507,13.7,56,4
Dante Wright,TEM,WR,39,507,13.0,71,4
Quentin Skinner,KU,WR,27,507,18.8,49,2
Junior Vandeross III,TOL,WR,38,505,13.3,68,4
Cornelius Johnson,MICH,WR,33,503,15.2,50,1
Jaheim Bell,FSU,TE,39,503,12.9,49,2
Zavion Thomas,MSST,WR,40,503,12.6,35,1
Ja'Tavion Sanders,TEX,TE,31,502,16.2,50,1
Christan Horn,APP,WR,29,502,17.3,52,6
Devin Carter,WVU,WR,27,501,18.6,49,2
Tanner McLachlan,ARIZ,TE,42,500,11.9,36,4
Trayvon Rudolph,NIU,WR,46,499,10.8,72,2
Mac Dalena,FRES,WR,44,498,11.3,39,3
Latreal Jones,USM,WR,36,498,13.8,43,3
Xavier White,TTU,WR,34,495,14.6,72,1
Marlyn Johnson,BUFF,WR,40,495,12.4,80,4
Reymello Murphy,ODU,WR,27,495,18.3,61,3
Dalen Cobb,GASO,WR,33,492,14.9,76,2
Corey Dyches,MD,TE,49,491,10.0,44,2
Ketron Jackson Jr.,BAY,WR,28,489,17.5,55,1
Brett Buckman,CONN,WR,46,488,10.6,40,2
Damon Ward,UNT,WR,39,487,12.5,59,5
Chris Tyree,ND,WR,26,484,18.6,76,3
Jeremiah Hixon,UNM,WR,39,482,12.4,59,5
Louis Brown IV,CSU,WR,47,481,10.2,46,5
Tanner Knue,EMU,WR,50,479,9.6,39,3
Jacob Bernard,UL,WR,37,473,12.8,43,1
Marcus Rosemy-Jacksaint,UGA,WR,29,472,16.3,50,4
Roderic Burns,UNT,WR,41,467,11.4,42,4
Jaylen Johnson,ECU,WR,45,466,10.4,39,2
Blake Watson,MEM,RB,50,463,9.3,63,3
Kyren Lacy,LSU,WR,24,463,19.3,57,7
Malik Rutherford,GT,WR,44,462,10.5,55,3
RJ Maryland,SMU,TE,29,462,15.9,62,7
Ta'ron Keith,BGSU,RB,44,457,10.4,58,3
Jacob De Jesus,UNLV,WR,46,456,9.9,48,2
J. Michael Sturdivant,UCLA,WR,32,455,14.2,62,3
Jairus Mack,CLT,WR,25,453,18.1,51,2
Jahdae Walker,TA&M,WR,27,453,16.8,40,2
Darrell Harding Jr.,BUFF,WR,23,451,19.6,52,3
Emeka Egbuka,OSU,WR,35,451,12.9,28,4
Umari Hatcher,SYR,WR,30,451,15.0,48,3
Justin Olson,MTSU,WR,43,450,10.5,42,1
Jake Bailey,SMU,WR,34,450,13.2,34,0
Peter LeBlanc,UL,WR,29,449,15.5,87,4
Jaelen Gill,FRES,WR,44,447,10.2,65,5
Leon Johnson III,OKST,WR,27,446,16.5,67,1
Tiaquelin Mims,USM,DB,39,445,11.4,37,2
Tyson Davis,CMU,WR,29,444,15.3,67,4
Zae Baines,TEM,WR,36,442,12.3,60,1
Christian Dremel,RUTG,WR,34,440,12.9,69,3
Barion Brown,UK,WR,40,439,11.0,55,3
London Humphreys,VAN,WR,22,439,20.0,56,4
Trent Hudson,NMSU,WR,28,439,15.7,78,8
Jack Velling,ORST,TE,29,438,15.1,41,8
Jesse Prewitt III,CMU,WR,31,438,14.1,70,4
Amare Thomas,UAB,WR,53,437,8.2,49,3
Dalvin Smith,WKU,WR,41,436,10.6,45,3
Jerand Bradley,TTU,WR,36,431,12.0,34,4
Malik Phillips,SHSU,WR,35,430,12.3,41,1
Treon Sibley,LIB,WR,19,429,22.6,68,4
Mookie Cooper,MIZ,WR,34,429,12.6,41,0
Andrel Anthony,OU,WR,27,429,15.9,55,1
Nate McCollum,UNC,WR,39,428,11.0,48,1
Kelby Williams,ODU,WR,23,428,18.6,78,2
Wyatt Wieland,WYO,WR,39,425,10.9,40,5
Dean Patterson,FIU,WR,28,423,15.1,40,1
Mason Fairchild,KU,TE,25,422,16.9,59,3
Isaac Rex,BYU,TE,34,422,12.4,65,3
Mitchell Evans,ND,TE,29,422,14.6,36,1
Jha'Quan Jackson,TULN,WR,24,421,17.5,48,4
George Johnson III,MASS,WR,35,421,12.0,32,3
Mark Pope,MASS,WR,33,420,12.7,54,1
Ladd McConkey,UGA,WR,26,418,16.1,54,2
Romello Brinson,SMU,WR,26,417,16.0,74,2
Jermaine Brown Jr.,UAB,RB,41,416,10.1,55,1
Easton Messer,WKU,WR,35,416,11.9,35,4
Trey Cleveland,UNT,WR,27,415,15.4,33,3
Luke Floriea,KENT,WR,39,414,10.6,43,4
Kole Taylor,WVU,TE,33,411,12.5,43,4
Tony Johnson,FAU,WR,37,411,11.1,72,4
Myles Price,TTU,WR,43,410,9.5,33,5
Chris Parker,CMU,WR,23,409,17.8,62,3
Tiger Bachmeier,STAN,WR,36,409,11.4,41,2
Mark Redman,SDSU,TE,38,408,10.7,29,3
Jake Briningstool,CLEM,TE,41,407,9.9,50,5
Devonte Ross,TROY,WR,36,405,11.3,38,3
Khafre Brown,USF,WR,26,404,15.5,84,4
