Player,School,POS,ATT,YDS,AVG,LNG,TD
Kevin Concepcion,NCSU,WR,38,297,7.8,65,0
Ashton Daniels,STAN,QB,110,296,2.7,24,3
Jordan Ford,TLSA,RB,78,294,3.8,22,1
Michael Wiley,ARIZ,RB,63,292,4.6,24,3
Dan Villari,SYR,TE,44,289,6.6,38,2
Kendrick Raphael,NCSU,RB,60,289,4.8,31,1
Keith Willis Jr.,LT,RB,51,288,5.6,68,7
Bennett Galloway,ULM,RB,44,287,6.5,41,0
Brendan Sorsby,IU,QB,112,286,2.6,25,4
Logan Smothers,JVST,QB,75,283,3.8,41,6
Colby McDonald,MD,RB,47,283,6.0,35,2
Sutton Smith,MEM,RB,59,283,4.8,26,2
Stacy Sneed,HOU,RB,48,282,5.9,58,1
Luke Altmyer,ILL,QB,94,282,3.0,72,3
Alex Broome,BC,RB,58,280,4.8,36,1
Daba Fofana,NAVY,FB,71,279,3.9,20,3
Jaylin Lucas,IU,RB,67,275,4.1,25,2
Mike Hollins,UVA,RB,80,274,3.4,22,7
Trey Cooley,GT,RB,64,274,4.3,23,3
Joey Aguilar,APP,QB,70,274,3.9,25,2
Cam Fancher,MRSH,QB,120,273,2.3,63,4
Pat Garwo III,BC,RB,52,270,5.2,50,1
Charvis Thornton,LT,RB,55,270,4.9,47,1
Delbert Mimms III,NCSU,RB,92,269,2.9,18,8
Jeffery Pittman,MSST,RB,54,268,5.0,59,1
Bryson Barnes,UTAH,QB,74,267,3.6,26,3
Jiya Wright,ULM,QB,99,264,2.7,44,2
CJ Beasley,CCU,RB,68,262,3.9,21,2
Avery Morrow,CSU,RB,81,262,3.2,13,2
Rashod Dubinion,ARK,RB,82,260,3.2,15,1
Jason Bean,KU,QB,41,259,6.3,50,3
DeCarlos Brooks,ASU,RB,48,259,5.4,21,3
Antwain Littleton II,MD,RB,69,255,3.7,32,2
Landon Sims,HAW,RB,63,255,4.0,22,1
Keegan Shoemaker,SHSU,QB,93,254,2.7,29,1
Brady Cook,MIZ,QB,94,253,2.7,25,8
Jared Brown,CCU,WR,15,252,16.8,77,1
Michael Allen,NCSU,RB,52,251,4.8,37,1
James Jointer Jr.,LIB,RB,43,251,5.8,34,2
Xavier Arline,NAVY,QB,72,251,3.5,50,2
Kenny Tracy,M-OH,RB,46,250,5.4,42,2
Cam'Ron Valdez,TTU,RB,40,250,6.3,54,1
Isaiah Jacobs,UAB,RB,55,249,4.5,26,3
Chandler Morris,TCU,QB,45,249,5.5,32,3
Obie Sanni,ODU,RB,57,248,4.4,67,1
Jacqez Barksdale,BUFF,RB,52,248,4.8,39,2
Seth Henigan,MEM,QB,88,247,2.8,24,4
Jayden Maiava,UNLV,QB,64,244,3.8,34,3
Tate Carney,WAKE,RB,49,244,5.0,74,4
Sean Tyler,MINN,RB,61,242,4.0,19,0
Jackson Acker,WIS,RB,58,236,4.1,14,1
Nate Johnson,UTAH,QB,59,235,4.0,59,4
Courtney Reese,UNLV,RB,58,233,4.0,32,4
Josh Williams,LSU,RB,43,233,5.4,41,5
Jensen Jones,AFA,QB,47,233,5.0,37,4
Sam Scott,WYO,RB,50,232,4.6,19,2
Javious Bond,ECU,RB,40,231,5.8,39,1
Edward Saydee,TEM,RB,68,230,3.4,21,0
Zach Evans,MINN,RB,52,230,4.4,18,1
Malik Hornsby,TXST,QB,35,229,6.5,31,6
Isaiah Johnson,UNT,RB,37,229,6.2,28,3
Christian Turner,IU,RB,52,227,4.4,17,2
